u0 u1 u2 u3 u4 u5 u6 u7 t0 t1 t2 t3 tgpu v a w
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.999 A:0.644 W:3.221
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:5.000 A:0.638 W:3.187
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 54.0 V:4.999 A:0.641 W:3.210
0.0 0.0 0.0 0.0 0.0909090909091 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.999 A:0.636 W:3.183
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.999 A:0.640 W:3.199
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.997 A:0.638 W:3.191
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.999 A:0.653 W:3.263
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.999 A:0.634 W:3.172
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.999 A:0.640 W:3.199
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 54.0 V:5.000 A:0.639 W:3.195
0.0 0.0 0.0 0.0 0.1 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.999 A:0.639 W:3.199
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:5.000 A:0.639 W:3.199
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 54.0 V:4.999 A:0.640 W:3.202
0.0 0.0 0.0 0.0 0.0 0.222222222222 0.0 0.0 58.0 56.0 58.0 58.0 53.0 V:5.000 A:0.639 W:3.195
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 54.0 V:5.003 A:0.695 W:3.481
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 54.0 V:5.000 A:0.641 W:3.206
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 54.0 V:4.999 A:0.642 W:3.214
0.0 0.0 0.0 0.0 0.1 0.0 0.0 0.0 55.0 56.0 58.0 58.0 54.0 V:4.999 A:0.638 W:3.191
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 54.0 V:5.000 A:0.643 W:3.218
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.999 A:0.637 W:3.187
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.999 A:0.638 W:3.195
0.0909090909091 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 54.0 V:4.999 A:0.636 W:3.179
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 54.0 V:5.000 A:0.642 W:3.214
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.999 A:0.639 W:3.195
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.999 A:0.639 W:3.199
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.999 A:0.638 W:3.191
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 54.0 V:4.999 A:0.641 W:3.206
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.999 A:0.638 W:3.191
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 54.0 V:4.999 A:0.639 W:3.195
0.0 0.0 0.0 0.0 0.1 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.999 A:0.644 W:3.221
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 54.0 V:4.999 A:0.636 W:3.183
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 54.0 V:4.999 A:0.637 W:3.187
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.999 A:0.639 W:3.195
0.0 0.0 0.0 0.0 0.0909090909091 0.0 0.0 0.0 55.0 56.0 58.0 58.0 54.0 V:4.999 A:0.638 W:3.191
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 54.0 V:4.999 A:0.638 W:3.191
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 54.0 V:4.997 A:0.640 W:3.202
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 54.0 V:4.997 A:0.640 W:3.199
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 54.0 V:4.997 A:0.637 W:3.187
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.999 A:0.639 W:3.195
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 54.0 V:4.999 A:0.637 W:3.183
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 54.0 V:4.999 A:0.645 W:3.225
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 54.0 V:5.000 A:0.641 W:3.206
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 54.0 V:4.999 A:0.637 W:3.187
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.999 A:0.638 W:3.191
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.999 A:0.640 W:3.202
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.999 A:0.649 W:3.244
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.999 A:0.637 W:3.187
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 54.0 V:4.999 A:0.637 W:3.183
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.999 A:0.639 W:3.195
0.0 0.0 0.0 0.0 0.0909090909091 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.999 A:0.638 W:3.191
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.999 A:0.641 W:3.206
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.999 A:0.641 W:3.206
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:5.000 A:0.640 W:3.199
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.997 A:0.639 W:3.195
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.999 A:0.640 W:3.199
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 56.0 58.0 58.0 53.0 V:4.999 A:0.636 W:3.183
